"Id","Parameter","Enhet","Enhet (Standard)","Faktor (Standard)","Enhet (Alternativ)","Faktor (Alternativ)","Antal värdesiffror"
"379","4:2 FTS","ng/l","ng/l","1,000000000000","","",""
"337","6:2 FTS","ng/l","ng/l","1,000000000000","","",""
"383","8:2 FTS","ng/l","ng/l","1,000000000000","","",""
"122","Abs_F 254","/5cm","/5cm","1,000000000000","","",""
"123","Abs_F 365","/5cm","/5cm","1,000000000000","","",""
"208","Abs_F 365","/m","/m","1,000000000000","","",""
"252","Abs_F 400","/5cm","/5cm","1,000000000000","","",""
"75","Abs_F 420","/5cm","/5cm","1,000000000000","","",""
"99","Abs_F 436","/5cm","/m","20,000000000000","","",""
"209","Abs_F 436","/m","/m","1,000000000000","","",""
"190","Abs_OF 254","/5cm","/5cm","1,000000000000","","",""
"76","Abs_OF 420","/5cm","/5cm","1,000000000000","","",""
"310","Acenaften","µg/l","µg/l","1,000000000000","","",""
"358","Acenaften","ng/l","µg/l","0,001000000000","","",""
"311","Acenaftylen","µg/l","µg/l","1,000000000000","","",""
"359","Acenaftylen","ng/l","µg/l","0,001000000000","","",""
"125","Acid.","mekv/l","mekv/l","1,000000000000","","",""
"290","Acid.","mmol/l","mekv/l","1,000000000000","","",""
"263","Ag","µg/l","µg/l","1,000000000000","","",""
"274","Ag","mg/l","µg/l","1000,000000000000","","",""
"275","Ag_F","µg/l","µg/l","1,000000000000","","",""
"276","Ag_F","mg/l","µg/l","1000,000000000000","","",""
"47","Al","µg/l","µg/l","1,000000000000","","",""
"61","Al","mg/l","µg/l","1000,000000000000","","",""
"100","Al_filt","µg/l","µg/l","1,000000000000","","",""
"101","Al_filt","mg/l","µg/l","1000,000000000000","","",""
"264","Al_ICP","µg/l","µg/l","1,000000000000","","",""
"223","Al_ICPAES","µg/l","µg/l","1,000000000000","","",""
"256","Al_ICPKJB","µg/l","µg/l","1,000000000000","","",""
"197","Al_NA","µg/l","µg/l","1,000000000000","","",""
"295","Al_NA","mg/l","µg/l","1000,000000000000","","",""
"181","Al_NAD","µg/l","µg/l","1,000000000000","","",""
"241","Al_NAD","mg/l","µg/l","1000,000000000000","","",""
"258","Al_NI","µg/l","µg/l","1,000000000000","","",""
"257","Al_s","µg/l","µg/l","1,000000000000","","",""
"196","AlI_NAJ","µg/l","µg/l","1,000000000000","","",""
"240","AlI_NAJ","mg/l","µg/l","1000,000000000000","","",""
"8","Alk.","mekv/l","mekv/l","1,000000000000","","",""
"178","Alk.","mmol/l","mekv/l","1,000000000000","","",""
"184","Alk.","mg HCO3/l","mekv/l","0,016388069000","","",""
"94","Alk/Acid","mekv/l","mekv/l","1,000000000000","","",""
"145","Alk/Acid","mg HCO3/l","mekv/l","0,016388069000","","",""
"146","Alk/Acid","mmol/l","mekv/l","1,000000000000","","",""
"194","AlO_NAJ","µg/l","µg/l","1,000000000000","","",""
"312","Antracen","µg/l","µg/l","1,000000000000","","",""
"360","Antracen","ng/l","µg/l","0,001000000000","","",""
"48","AOX","mg/l","mg/l","1,000000000000","","",""
"9","As","µg/l","µg/l","1,000000000000","","",""
"130","As","mg/l","µg/l","1000,000000000000","","",""
"95","As_F","µg/l","µg/l","1,000000000000","","",""
"210","As_F","mg/l","µg/l","1000,000000000000","","",""
"52","B","mg/l","µg/l","1000,000000000000","","",""
"62","B","µg/l","µg/l","1,000000000000","","",""
"296","B_F","mg/l","µg/l","1000,000000000000","","",""
"49","Ba","µg/l","µg/l","1,000000000000","","",""
"268","Ba","mg/l","µg/l","1000,000000000000","","",""
"96","Ba_F","µg/l","µg/l","1,000000000000","","",""
"273","Ba_F","mg/l","µg/l","1000,000000000000","","",""
"308","Be","µg/l","µg/l","1,000000000000","","",""
"297","Be_F","mg/l","µg/l","1000,000000000000","","",""
"320","Benso(a)antracen","µg/l","µg/l","1,000000000000","","",""
"361","Benso(a)antracen","ng/l","µg/l","0,001000000000","","",""
"321","Benso(a)pyren","µg/l","µg/l","1,000000000000","","",""
"362","Benso(a)pyren","ng/l","µg/l","0,001000000000","","",""
"322","Benso(b)fluoranten","µg/l","µg/l","1,000000000000","","",""
"363","Benso(b)fluoranten","ng/l","µg/l","0,001000000000","","",""
"335","Benso(b,k)fluoranten","µg/l","µg/l","1,000000000000","","",""
"323","Benso(ghi)perylen","µg/l","µg/l","1,000000000000","","",""
"364","Benso(ghi)perylen","ng/l","µg/l","0,001000000000","","",""
"324","Benso(k)fluoranten","µg/l","µg/l","1,000000000000","","",""
"365","Benso(k)fluoranten","ng/l","µg/l","0,001000000000","","",""
"165","BOD5","mg/l","mg/l O2","1,000000000000","","",""
"247","BOD5","mg/l O2","mg/l O2","1,000000000000","","",""
"164","BOD7","mg/l","mg/l O2","1,000000000000","","",""
"201","BOD7","mg/l O2","mg/l O2","1,000000000000","","",""
"10","Ca","mekv/l","mg/l","20,040000000000","mekv/l","1,000000000000",""
"46","Ca","mg/l","mg/l","1,000000000000","mekv/l","0,049900200000",""
"144","Ca+Mg","mekv/l","mekv/l","1,000000000000","","",""
"206","Ca+Mg","mg/l","mg/l","1,000000000000","","",""
"232","Ca_F","mg/l","mg/l","1,000000000000","mekv/l","0,049900200000",""
"285","Ca_F","mekv/l","mekv/l","1,000000000000","","",""
"11","Cd","µg/l","µg/l","1,000000000000","","",""
"131","Cd","mg/l","µg/l","1000,000000000000","","",""
"102","Cd_F","µg/l","µg/l","1,000000000000","","",""
"212","Cd_F","mg/l","µg/l","1000,000000000000","","",""
"12","Cl","mekv/l","mg/l","35,450000000000","mekv/l","1,000000000000",""
"63","Cl","mg/l","mg/l","1,000000000000","mekv/l","0,028200000000",""
"287","Cl_F","mg/l","mg/l","1,000000000000","","",""
"195","ClO3","mg/l","mg/l","1,000000000000","","",""
"159","CN-tot","µg/l","µg/l","1,000000000000","","",""
"160","CN-tot","mg/l","µg/l","1000,000000000000","","",""
"13","Co","µg/l","µg/l","1,000000000000","","",""
"132","Co","mg/l","µg/l","1000,000000000000","","",""
"104","Co_F","µg/l","µg/l","1,000000000000","","",""
"213","Co_F","mg/l","µg/l","1000,000000000000","","",""
"237","CODCr","mg/l","mg/l O2","1,000000000000","","",""
